Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Total_Expense,,,,,,
32784,37,3,Professional,Tier_2,6557,0,947,4816,1788,1519,1452,1558,1175,2225,974,9,3073,9773,323,492,258,294,193,35,69,252,23011,,40782,,,,
11946,19,4,Student,Tier_2,2389,0,413,1364,642,476,497,699,404,782,131,6,670,4148,322,63,133,111,102,20,0,16,7797,,,,,,
40518,35,0,Retired,Tier_3,6078,0,1992,6013,3206,1071,1147,2250,1222,0,1073,15,5994,16467,1338,503,78,272,267,48,0,62,24052,,,,,,
18554,47,4,Self_Employed,Tier_2,3711,1192,917,2513,1394,675,773,1170,795,1575,417,10,1793,3423,339,400,151,189,128,30,32,112,15132,,,,,,
23756,59,4,Student,Tier_2,4751,0,537,2635,1579,598,1039,1447,1068,2354,326,6,1502,7422,598,235,134,290,358,18,89,56,16334,,,,,,
18538,46,1,Professional,Tier_2,3708,3360,875,2507,1187,729,409,946,747,1722,294,9,1734,2055,266,184,107,123,203,36,79,47,16484,,,,,,
132029,56,2,Self_Employed,Tier_3,19804,0,4384,15999,7955,5733,4929,6808,5861,8513,2002,19,24470,50041,905,699,1558,691,751,63,413,308,81988,,,,,,
29678,39,0,Retired,Tier_1,8903,2892,1002,3838,1959,769,1052,1757,1047,0,398,5,1528,6060,248,273,224,174,419,21,0,106,23617,,,,,,
12872,46,2,Retired,Tier_2,2574,0,396,1841,1013,281,564,878,557,1265,348,9,1140,3154,247,227,69,51,232,24,47,81,9717,,,,,,
57930,63,1,Retired,Tier_2,11586,0,2687,6416,3011,1164,2301,3996,1886,5289,773,13,7631,18821,1644,786,117,637,809,89,15,161,39109,,,,,,
11297,27,2,Retired,Tier_2,2259,0,381,1383,764,554,456,702,503,804,203,9,980,3288,307,99,28,74,67,14,10,61,8009,,,,,,
35456,37,4,Professional,Tier_3,5318,2757,715,4322,2784,951,1212,2597,1666,1978,977,6,2044,10178,833,149,199,110,301,6,40,261,25277,,,,,,
6256,33,3,Self_Employed,Tier_2,1251,868,301,841,457,234,302,459,245,380,124,6,402,793,100,108,19,32,81,3,9,8,5462,,,,,,
10367,23,0,Student,Tier_3,1555,737,510,1072,763,292,237,788,468,0,106,6,653,3838,142,189,32,33,177,13,0,11,6528,,,,,,
35117,34,0,Retired,Tier_1,10535,0,1158,3839,2434,1225,906,2256,1563,0,1016,5,1886,10185,1010,457,177,163,188,61,0,256,24932,,,,,,
54162,23,4,Self_Employed,Tier_1,16248,5390,1792,6609,4218,1305,2483,3827,1743,4772,600,11,5174,5174,597,500,98,574,199,41,101,143,48987,,,,,,
34408,39,2,Self_Employed,Tier_2,6882,0,706,4378,2683,1174,822,2051,1118,3379,613,9,3156,10603,1070,595,253,46,333,33,49,92,23806,,,,,,
27349,35,0,Self_Employed,Tier_3,4102,0,713,2794,1792,1317,836,1835,1130,0,683,6,1532,12148,251,268,233,144,161,5,0,44,15202,,,,,,
23578,49,1,Self_Employed,Tier_2,4716,0,557,2881,1707,1148,493,1880,894,1435,669,10,2348,7200,741,222,95,27,528,37,65,115,16380,,,,,,
9192,45,1,Professional,Tier_2,1838,1648,403,1205,732,300,299,696,390,880,258,10,542,542,137,137,72,73,77,4,35,70,8649,,,,,,
16866,59,2,Self_Employed,Tier_2,3373,2840,598,1801,1070,666,731,1039,584,1001,184,10,1628,2978,316,285,168,100,64,13,40,29,13887,,,,,,
20753,27,1,Professional,Tier_3,3113,0,595,2534,1260,814,1008,1548,779,1985,526,8,1709,6590,671,104,183,57,357,32,24,34,14162,,,,,,
69888,58,3,Professional,Tier_1,20966,0,3336,9572,3725,2736,2272,2814,2621,6125,1935,13,9336,13786,1239,845,610,180,585,27,302,517,56102,,,,,,
39492,39,4,Retired,Tier_2,7898,0,1555,4126,2765,1424,923,1731,1322,2299,596,8,3016,14852,895,665,140,239,315,1,3,57,24639,,,,,,
7321,45,0,Student,Tier_2,1464,675,352,959,397,242,161,576,285,0,76,7,499,2133,74,77,56,44,72,5,0,21,5187,,,,,,
38879,32,4,Student,Tier_2,7776,0,1074,4633,2589,983,1421,2168,1412,2562,1042,6,2207,13219,516,742,233,83,299,22,101,145,25660,,,,,,
22046,60,2,Self_Employed,Tier_2,4409,2490,1014,2701,1142,821,894,1267,672,1918,243,6,1343,4473,301,176,239,65,84,32,78,43,17571,,,,,,
17456,46,4,Self_Employed,Tier_1,5237,0,797,2060,1394,366,382,775,822,1606,275,6,1066,3744,309,140,105,54,48,39,53,58,13714,,,,,,
48937,24,0,Student,Tier_3,7341,6174,2296,5100,3419,2343,2010,2741,2284,0,1078,11,5504,14153,1299,760,191,600,536,81,0,319,34786,,,,,,
68443,51,0,Student,Tier_2,13689,9243,3047,8892,3535,3299,2384,4927,2414,0,1401,14,9241,15611,647,836,478,393,817,26,0,395,52831,,,,,,
63195,49,2,Professional,Tier_2,12639,0,2792,7662,4519,3080,2395,3688,2341,5068,1222,13,8239,17788,905,355,320,698,221,56,40,85,45406,,,,,,
15330,19,0,Self_Employed,Tier_2,3066,0,697,2177,1047,337,739,683,757,0,300,9,1407,5528,283,238,62,182,88,15,0,86,9803,,,,,,
23426,43,1,Student,Tier_1,7028,2227,1098,3200,1660,736,600,1763,1032,2096,504,8,1481,1481,455,344,41,101,150,14,47,101,21944,,,,,,
39103,62,4,Student,Tier_2,7821,0,1279,5044,2908,1609,925,2894,1801,3365,456,6,2218,11002,1218,621,366,273,406,76,48,97,28102,,,,,,
65473,28,3,Professional,Tier_2,13095,0,1740,7323,4660,1771,3043,3520,2326,5264,1498,14,8984,21235,1731,261,147,484,374,99,241,432,44240,,,,,,
20447,42,3,Retired,Tier_2,4089,0,453,2541,1127,906,857,1251,952,1831,498,5,1083,5943,529,251,186,110,124,45,53,96,14505,,,,,,
25859,36,3,Professional,Tier_2,5172,0,731,3591,1500,701,737,1792,1202,1539,360,9,2417,8535,477,237,166,38,98,36,35,37,17325,,,,,,
12381,37,2,Student,Tier_3,1857,1611,568,1311,688,262,306,919,602,927,205,9,1134,3125,180,40,58,47,208,15,20,42,9256,,,,,,
11522,50,3,Self_Employed,Tier_2,2304,1912,575,1221,821,340,484,906,559,721,238,6,640,1439,328,137,29,108,136,23,16,41,10081,,,,,,
57467,34,4,Retired,Tier_2,11493,8787,1879,6376,3566,1853,1270,4000,2054,3770,592,10,5901,11827,574,826,546,90,604,52,72,88,45640,,,,,,
88782,47,0,Professional,Tier_1,26635,0,3022,12813,4608,2449,2168,3851,4132,0,1782,12,10652,27322,3460,317,454,624,455,186,0,434,61460,,,,,,
28321,35,1,Retired,Tier_1,8496,0,900,3553,1830,1018,1359,1487,1083,1559,409,8,2244,6627,196,382,195,303,352,21,53,59,21694,,,,,,
66955,49,3,Retired,Tier_2,13391,12898,2446,9963,4249,2280,2559,4080,2549,5497,1952,14,5091,5091,731,1095,533,421,980,115,67,456,61864,,,,,,
40065,57,3,Professional,Tier_1,12020,3437,1376,5781,2679,2001,865,1954,1896,2635,477,10,4090,4945,1152,522,208,259,104,11,33,117,35121,,,,,,
17905,62,3,Self_Employed,Tier_2,3581,0,726,1997,1386,846,862,1080,854,1160,304,7,1262,5111,412,210,71,98,137,8,47,41,12796,,,,,,
40057,21,1,Student,Tier_3,6009,6078,1131,5980,2974,1854,1286,2870,1609,3874,799,13,5260,5593,799,527,406,95,573,80,132,170,34464,,,,,,
102681,49,4,Student,Tier_2,20536,19761,3295,12785,7472,2304,4855,6328,3411,6923,1205,24,13805,13805,928,566,202,435,1536,107,294,233,88875,,,,,,
29152,36,3,Self_Employed,Tier_2,5830,0,935,4184,1638,859,1198,2319,931,2781,723,8,2311,7753,913,236,214,117,543,46,61,37,21398,,,,,,
104890,20,0,Retired,Tier_1,31467,6757,3101,12984,8099,3415,3890,8023,5071,0,1188,18,18439,20896,3800,1621,746,365,1662,218,0,135,83995,,,,,,
3689,55,2,Self_Employed,Tier_1,1107,495,162,543,225,151,170,244,174,187,83,8,147,147,86,64,20,15,62,5,6,24,3541,,,,,,
57900,45,1,Retired,Tier_1,17370,11444,2096,7943,3662,2816,2289,4065,2261,3600,1203,13,0,-850,1572,906,835,636,1172,95,79,181,58749,,,,,,
32164,55,4,Professional,Tier_2,6433,1905,1184,4065,1640,1491,726,1710,1217,2345,436,6,1805,9011,926,473,324,198,180,60,44,66,23152,,,,,,
23618,23,0,Retired,Tier_2,4724,0,643,3188,1642,781,655,1328,744,0,360,8,1807,9552,367,377,165,81,316,7,0,104,14065,,,,,,
32285,57,1,Student,Tier_1,9686,3372,1056,3595,2528,655,780,1297,1182,3175,689,9,2963,4271,592,334,70,231,312,35,16,165,28015,,,,,,
6117,34,1,Student,Tier_2,1223,384,186,873,353,250,195,453,197,314,160,8,478,1529,166,55,58,29,30,2,13,43,4588,,,,,,
25165,59,2,Retired,Tier_2,5033,3469,1189,2860,1425,1091,968,1988,1198,1757,260,6,1604,3926,711,275,98,245,546,12,24,31,21238,,,,,,
39920,22,2,Student,Tier_2,7984,7102,844,5177,2228,1878,1143,2106,1931,2590,860,6,2386,6078,1167,170,514,78,617,7,105,135,33843,,,,,,
97858,36,4,Self_Employed,Tier_2,19572,0,2471,14636,5795,2145,4003,4257,2989,9185,1921,10,10240,30885,3005,1191,135,298,1040,7,18,514,66974,,,,,,
19818,60,3,Retired,Tier_1,5945,1710,789,2034,1433,861,927,1212,910,1872,571,6,1184,1552,176,261,151,227,286,39,89,151,18264,,,,,,
15712,59,2,Self_Employed,Tier_2,3142,1267,599,1707,1183,444,591,899,749,1026,294,10,1555,3808,169,310,102,77,220,10,33,56,11901,,,,,,
20081,52,4,Student,Tier_2,4016,0,832,2698,1445,943,675,921,788,1878,566,10,1931,5318,775,185,173,57,86,34,57,109,14762,,,,,,
62397,39,1,Self_Employed,Tier_3,9360,8081,1333,8226,3698,2270,1920,4148,2242,5064,1561,13,8342,14494,2217,374,350,534,318,89,250,229,47903,,,,,,
39025,41,3,Retired,Tier_1,11707,4032,1814,5316,2717,1061,1038,2710,1789,2708,773,5,2002,3360,289,398,198,94,768,80,12,86,35665,,,,,,
19636,27,0,Self_Employed,Tier_2,3927,0,941,1983,1338,959,513,981,728,0,213,7,1412,8054,494,299,187,46,257,28,0,37,11583,,,,,,
45232,19,1,Self_Employed,Tier_1,13570,7867,1966,6067,2926,2231,1126,3237,1634,3859,1273,10,0,-522,1595,792,663,185,821,4,132,267,45756,,,,,,
32423,45,4,Student,Tier_2,6485,0,818,4768,2126,1548,1096,1834,1377,1919,933,7,2150,9520,255,620,309,196,284,35,52,261,22904,,,,,,
65112,58,0,Student,Tier_1,19534,4564,2843,7817,4282,2278,3060,3422,2383,0,1480,13,8193,13450,1783,393,433,476,444,116,0,436,51663,,,,,,
17108,54,1,Retired,Tier_1,5132,3202,505,2130,949,383,694,748,679,1619,487,7,579,579,629,232,77,204,129,26,49,90,16528,,,,,,
23082,34,2,Retired,Tier_2,4616,3961,567,3117,1797,939,605,1103,1061,1864,426,5,1226,3027,892,113,246,84,272,34,76,27,20056,,,,,,
21922,23,4,Student,Tier_2,4384,0,492,3157,1536,1021,600,1666,686,1602,510,8,1732,6266,572,298,158,146,250,30,35,94,15654,,,,,,
9303,60,0,Professional,Tier_2,1861,486,199,1281,715,399,233,551,441,0,104,7,695,3033,194,121,36,35,79,11,0,26,6270,,,,,,
38019,22,2,Student,Tier_2,7604,3489,1721,5630,2250,1505,904,3024,1355,3210,964,5,2071,6362,1234,537,174,185,580,26,38,262,31656,,,,,,
36968,56,0,Professional,Tier_2,7394,6914,1674,5063,2305,1372,1724,2411,1839,0,595,8,2932,5676,1161,656,180,119,154,41,0,139,31291,,,,,,
30123,24,3,Self_Employed,Tier_2,6025,0,632,3444,1815,1468,1172,1319,955,2048,859,6,1799,10386,828,256,421,321,223,42,44,160,19737,,,,,,
24867,49,3,Retired,Tier_1,7460,4433,1031,3600,1878,1225,689,1650,1021,2084,388,6,0,-592,189,469,282,69,202,29,66,59,25459,,,,,,
9669,21,4,Self_Employed,Tier_2,1934,1198,267,1213,654,381,284,436,321,515,184,8,743,2282,116,73,24,49,59,13,3,11,7387,,,,,,
21428,38,0,Self_Employed,Tier_2,4286,0,572,3127,1221,600,653,1576,717,0,399,10,2088,8278,331,154,87,176,127,21,0,98,13151,,,,,,
22806,59,3,Student,Tier_2,4561,0,841,2356,1488,752,882,1648,833,1704,659,9,2128,7081,585,367,159,90,424,31,43,192,15724,,,,,,
15790,49,1,Retired,Tier_1,4737,0,533,2090,1052,408,619,799,746,958,410,8,1227,3438,472,120,116,64,67,28,24,25,12352,,,,,,
26368,35,1,Professional,Tier_1,7911,0,677,2655,1995,692,657,1840,1310,1768,391,6,1712,6473,545,495,79,141,156,40,64,105,19896,,,,,,
41448,50,3,Student,Tier_1,12434,0,836,4455,2402,1092,1572,2866,1566,3841,932,14,5835,9451,589,408,295,456,275,13,151,234,31996,,,,,,
135659,31,3,Student,Tier_1,40698,17920,4026,15621,7878,2747,3481,7084,5110,8476,3471,17,19147,19147,3719,1210,417,1017,809,9,215,217,116512,,,,,,
34497,23,4,Self_Employed,Tier_3,5174,0,1110,4725,1873,694,707,2226,1451,1892,883,8,2666,13762,813,260,74,189,326,46,3,89,20735,,,,,,
36864,28,4,Professional,Tier_3,5530,2290,1263,4460,1998,1624,992,1490,1461,2615,478,8,2849,12664,351,205,152,157,272,54,12,93,24201,,,,,,
28265,63,1,Student,Tier_2,5653,4804,911,3453,1500,956,1234,1554,991,2207,644,10,2799,4359,748,323,233,322,179,16,34,133,23907,,,,,,
6464,37,2,Retired,Tier_1,1939,0,203,742,328,135,284,299,223,559,124,8,498,1627,123,81,25,41,37,2,20,35,4836,,,,,,
29370,46,0,Professional,Tier_3,4406,0,1436,4176,1665,1319,719,1308,1422,0,302,5,1516,12618,1010,216,211,199,215,49,0,50,16753,,,,,,
31481,52,2,Student,Tier_2,6296,1935,1498,4665,1818,1063,1149,2112,1041,2380,428,7,2156,7096,842,174,260,78,630,50,113,81,24385,,,,,,
215248,33,4,Self_Employed,Tier_1,64574,0,6831,32107,14443,6799,8137,9136,7191,20390,5645,24,39995,39995,9207,753,1234,829,2536,25,345,1065,175253,,,,,,
25721,24,2,Student,Tier_2,5144,3770,1241,3243,1489,537,852,1138,1164,2467,392,6,1513,4283,740,236,34,208,77,33,51,33,21437,,,,,,
38185,57,4,Professional,Tier_2,7637,2562,863,3903,2970,1166,1649,2375,1893,3338,1051,10,3706,8778,792,453,121,124,137,87,64,314,29407,,,,,,
29178,53,2,Self_Employed,Tier_1,8754,0,595,3061,1499,597,1321,2205,919,2117,326,8,2202,7786,619,116,164,74,146,7,13,93,21394,,,,,,
11778,61,1,Student,Tier_1,3533,0,352,1692,739,286,437,770,544,1015,162,9,1060,2247,135,172,20,77,52,1,30,11,9530,,,,,,
74848,61,4,Professional,Tier_2,14970,0,1913,9719,4131,2628,1533,3804,3032,5526,2170,12,9128,25421,2326,269,700,112,1021,25,219,279,49426,,,,,,
54748,48,1,Professional,Tier_1,16424,0,2252,5969,2810,1797,2646,4018,1721,4873,557,13,7191,11680,1127,778,181,472,1205,17,154,131,43067,,,,,,
56488,59,2,Self_Employed,Tier_1,16946,6499,2191,7165,3471,1247,1535,3359,2733,3693,1568,13,6080,6080,1266,931,218,254,335,92,37,184,50407,,,,,,
14493,61,3,Self_Employed,Tier_1,4348,0,714,1895,1017,308,512,643,457,1034,221,9,1272,3344,336,157,80,32,146,10,0,56,11149,,,,,,
92151,60,3,Retired,Tier_3,13823,0,3927,13165,7110,3630,2986,7156,3907,8200,2310,14,12946,25937,2679,1953,763,192,1547,55,35,495,66214,,,,,,
9774,60,0,Retired,Tier_2,1955,0,311,1300,498,250,290,533,414,0,129,8,830,4094,98,101,19,66,63,14,0,33,5680,,,,,,
47975,64,3,Student,Tier_2,9595,4990,1346,5958,3559,2305,1267,3437,2071,4561,645,12,5757,8240,792,418,583,244,872,57,85,186,39734,,,,,,
173047,23,0,Retired,Tier_2,34609,0,3744,22522,9438,6471,7193,12143,7967,0,4603,23,40421,64357,5875,1075,761,1108,3537,181,0,1047,108690,,,,,,
13582,46,2,Retired,Tier_2,2716,0,379,1449,833,332,319,888,610,1211,209,6,877,4637,333,99,54,24,170,13,24,53,8946,,,,,,
19071,44,0,Self_Employed,Tier_2,3814,0,486,2140,1324,804,877,1024,615,0,430,7,1430,7557,607,246,68,165,240,22,0,48,11514,,,,,,
32490,60,0,Student,Tier_1,9747,3646,1468,4109,1898,1407,1331,2311,1434,0,439,7,2395,4700,870,431,407,352,507,61,0,129,27790,,,,,,
20054,19,0,Professional,Tier_2,4011,0,597,2220,1550,776,765,1524,611,0,478,5,1058,7523,616,209,129,67,180,16,0,108,12532,,,,,,
8677,39,1,Self_Employed,Tier_1,2603,1185,352,1295,574,361,321,680,407,830,96,7,0,-27,165,162,19,42,186,20,14,14,8704,,,,,,
31691,26,0,Professional,Tier_2,6338,0,1250,4039,2179,1540,1070,1693,1175,0,629,6,1769,11780,398,395,248,145,181,8,0,123,19913,,,,,,
12824,28,4,Retired,Tier_3,1924,0,279,1374,711,331,307,803,579,1209,202,5,675,5106,244,106,23,22,58,27,30,41,7719,,,,,,
43819,33,2,Retired,Tier_1,13146,3114,906,6404,2776,1925,1719,3138,1676,4273,603,11,4140,4140,888,786,489,418,831,69,129,114,39680,,,,,,
14377,62,1,Retired,Tier_2,2875,0,480,1948,720,467,432,1145,433,1334,152,7,935,4392,381,127,68,39,156,8,60,36,9986,,,,,,
103663,30,4,Professional,Tier_1,31099,0,4952,10568,6750,3464,4568,6078,4241,7266,1527,23,23149,23149,1785,1947,428,1350,311,110,113,158,80513,,,,,,
16032,35,2,Student,Tier_3,2405,0,628,1895,1040,621,550,777,607,1183,333,8,1234,5995,154,154,146,114,94,30,48,19,10039,,,,,,
23186,42,1,Self_Employed,Tier_2,4637,0,1060,2812,1430,751,876,1756,862,1436,394,10,2262,7171,671,361,66,71,251,38,29,41,16014,,,,,,
57513,50,2,Retired,Tier_3,8627,0,1226,7274,3901,1236,2551,4159,2171,3738,1205,13,7209,21426,368,1152,78,443,1129,29,147,98,36088,,,,,,
11207,27,3,Retired,Tier_2,2241,935,351,1298,812,256,332,854,500,687,289,6,701,2650,387,196,62,41,89,19,11,39,8555,,,,,,
35987,47,2,Student,Tier_1,10796,2369,783,4897,1859,1518,930,1513,1351,2105,980,10,3568,6885,1321,485,322,137,350,41,90,195,29101,,,,,,
85363,18,3,Self_Employed,Tier_3,12804,12629,2581,10867,4971,2205,3397,4128,3927,4693,1354,13,11411,21806,2839,462,123,941,1151,33,35,147,63556,,,,,,
8291,50,3,Student,Tier_2,1658,480,237,849,452,253,383,434,274,661,135,6,505,2476,49,79,31,104,90,3,24,24,5816,,,,,,
34775,32,2,Student,Tier_2,6955,0,1657,3614,2013,836,1581,2234,1136,2444,887,6,2026,11418,1080,306,158,115,286,17,54,82,23357,,,,,,
36933,46,3,Retired,Tier_2,7387,0,1645,4301,2024,1265,1810,2738,1145,2818,976,6,2178,10825,1177,134,261,539,194,36,69,93,26109,,,,,,
56073,19,1,Retired,Tier_1,16822,0,2478,7433,4153,1371,1856,4034,2155,5010,1162,11,6448,9599,2168,226,326,364,280,59,203,63,46474,,,,,,
11152,28,3,Student,Tier_2,2230,0,231,1477,577,541,479,592,483,951,304,8,942,3286,359,94,102,74,37,22,26,25,7865,,,,,,
10432,51,0,Professional,Tier_2,2086,0,368,1141,561,515,510,740,495,0,108,5,523,3908,92,125,109,38,121,1,0,27,6524,,,,,,
45547,58,1,Retired,Tier_3,6832,6776,1044,6588,3100,1100,1788,2959,2267,2380,643,13,6087,10070,1854,192,210,288,152,69,81,129,35477,,,,,,
38046,36,1,Self_Employed,Tier_1,11414,0,1749,4783,3036,1479,1326,2030,1759,3336,871,8,3196,6263,971,626,254,135,144,16,15,260,31783,,,,,,
36657,19,1,Retired,Tier_2,7331,0,1230,4729,2845,1682,1551,1609,1734,2020,1014,10,3551,10911,578,570,454,262,144,1,79,178,25745,,,,,,
39581,37,0,Professional,Tier_3,5937,7756,907,5520,2709,1342,1010,2594,1809,0,547,7,2883,9450,469,709,334,203,137,16,0,106,30131,,,,,,
17412,58,0,Professional,Tier_1,5224,0,862,1841,1079,356,608,1142,792,0,357,9,1501,5152,509,62,101,129,131,31,0,68,12261,,,,,,
36126,48,0,Student,Tier_1,10838,0,1035,4559,2226,790,1357,1644,1168,0,902,8,2772,11608,1287,142,111,403,219,8,0,256,24519,,,,,,
37927,21,0,Student,Tier_1,11378,6955,986,5111,2882,1502,1536,2969,1463,0,472,9,2673,2673,995,584,124,274,340,12,0,36,35254,,,,,,
16941,46,0,Professional,Tier_2,3388,0,626,1867,864,673,417,716,623,0,406,8,1312,7361,468,172,162,90,140,9,0,114,9580,,,,,,
133462,47,4,Self_Employed,Tier_2,26692,0,4609,14502,7832,5265,3892,9100,5425,11096,3146,17,22393,41901,4264,1974,332,504,1362,238,552,455,91559,,,,,,
43828,30,4,Student,Tier_3,6574,0,1237,6434,2377,1579,1272,3448,1791,4036,609,11,4949,14470,1641,533,145,300,437,72,37,125,29357,,,,,,
11567,32,0,Professional,Tier_2,2313,0,487,1608,649,557,392,783,539,0,286,9,1083,3952,385,190,140,60,49,5,0,26,7614,,,,,,
50726,37,1,Self_Employed,Tier_2,10145,0,1455,5140,2657,2049,1735,3514,1642,3268,1209,10,5144,17911,1106,498,555,505,281,69,113,216,32814,,,,,,
13756,51,3,Self_Employed,Tier_3,2063,0,418,1652,794,277,506,575,630,1263,227,8,1075,5351,385,153,26,43,95,3,60,56,8405,,,,,,
56310,45,3,Professional,Tier_1,16893,0,2309,6148,3223,2112,2558,4031,2705,4190,959,15,8189,11182,1761,583,581,413,272,42,146,67,45128,,,,,,
75798,37,4,Professional,Tier_2,15160,7499,2815,8779,4381,3109,3288,3344,2558,7310,1389,13,9883,16166,936,1103,719,754,941,6,31,201,59632,,,,,,
15559,42,0,Self_Employed,Tier_2,3112,1279,446,1779,883,449,355,694,733,0,380,6,913,5449,347,121,78,19,164,22,0,80,10110,,,,,,
64838,44,2,Self_Employed,Tier_1,19452,0,3092,9724,3679,2755,1316,3605,2289,5522,1007,11,7083,12397,1030,418,444,320,886,9,55,243,52441,,,,,,
41738,47,3,Professional,Tier_3,6261,0,1735,6210,3110,1748,940,2479,1408,2153,954,12,4801,14741,1256,785,489,184,644,62,91,157,26998,,,,,,
57907,58,3,Professional,Tier_2,11581,11237,1683,6049,4164,1567,2177,3113,2004,3981,1193,10,5895,9160,506,458,429,530,189,38,10,199,48749,,,,,,
136815,37,1,Retired,Tier_3,20522,0,6277,15328,9653,6821,4110,6938,4470,10396,4075,19,26582,48224,1114,2525,853,331,1319,6,138,299,88590,,,,,,
